Pubmed,miR_Name,miRBase_name,miR_ID,Drug,CID,Material_1,Material_2,Material_3,Material_4,Condition,Experiment,Level,Effect,Target,Regulation,Year,Reference,Support
16762633,miR-200b ,hsa-mir-200b,MI0000342,Gemcitabine,60750,"KMCH-1, Mz-ChA-1, TFK and H69",-,-,-,cholangiocarcinoma,in vitro,Low,Resistant,PTPN12,-,2006,Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.,"Inhibition of miR-21 and miR-200b increased sensitivity to gemcitabine, whereas inhibition of miR-141 decreased cell growth."
16762633,miR-21,hsa-mir-21,MI0000077,Gemcitabine,60750,"KMCH-1, Mz-ChA-1, TFK and H69",-,-,-,cholangiocarcinoma,in vitro,Low,Resistant,PTEN,-,2006,Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.,"Inhibition of miR-21 and miR-200b increased sensitivity to gemcitabine, whereas inhibition of miR-141 decreased cell growth."
17686970,miR-24,hsa-mir-24-1,MI0000080,Methotrexate,126941,HT1080,-,-,-,fibrosarcoma,in vitro,Low,association,DHFR,-,2007,A miR-24 microRNA binding-site polymorphism in dihydrofolate reductase gene leads to methotrexate resistance.,"SNP-829C3T near the miR-24 binding site in the 3 UTR of DHFR stabilizes the DHFR message and leads to high mRNA levels, high DHFR protein levels, and increased MTX resistance"
18199536,miR-214,hsa-mir-214,MI0000290,Cisplatin,2767,HIOSE,-,-,-,ovarian cancer,in vitro,Low,Resistant,PTEN,Akt pathway,2008,MicroRNA expression profiling in human ovarian cancer: miR-214 induces cell survival and cisplatin resistance by targeting PTEN.,"Significantly, miR-214 induces cell survival and cisplatin resistance through targeting the 3'-untranslated region (UTR) of the PTEN, which leads to down-regulation of PTEN protein and activation of Akt pathway. "
18246122,miR-100,hsa-mir-100,MI0000102,TRAIL therapy,-,"CALU-1, A459, A549,H460",-,-,-,Non-small Cell Lung Cancer,in vitro,High,Resistant,p27Kip1,-,2008,MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.,"Three of these miRs, miR-222, -221 and -100, showed dramatic overexpression with 5- to 8-fold higher levels in resistant NSCLC cells compared to the sensitive NSCLC cells.Downregulation occurred for only two miRs, miR-9 and -96"
18246122,miR-125b,hsa-mir-125b-1,MI0000446,TRAIL therapy,-,"CALU-1, A459, A549,H460",-,-,-,Non-small Cell Lung Cancer,in vitro,High,Resistant,p27Kip1,-,2008,MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.,"Three of these miRs, miR-222, -221 and -100, showed dramatic overexpression with 5- to 8-fold higher levels in resistant NSCLC cells compared to the sensitive NSCLC cells.Downregulation occurred for only two miRs, miR-9 and -96"
18246122,miR-15b,hsa-mir-15b,MI0000438,TRAIL therapy,-,"CALU-1, A459, A549,H460",-,-,-,Non-small Cell Lung Cancer,in vitro,High,Resistant,-,-,2008,MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.,"Three of these miRs, miR-222, -221 and -100, showed dramatic overexpression with 5- to 8-fold higher levels in resistant NSCLC cells compared to the sensitive NSCLC cells.Downregulation occurred for only two miRs, miR-9 and -96"
18246122,miR-221,hsa-mir-221,MI0000298,TRAIL therapy,-,"CALU-1, A459, A549,H460",-,-,-,Non-small Cell Lung Cancer,in vitro,High,Resistant,-,-,2008,MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.,"Three of these miRs, miR-222, -221 and -100, showed dramatic overexpression with 5- to 8-fold higher levels in resistant NSCLC cells compared to the sensitive NSCLC cells.Downregulation occurred for only two miRs, miR-9 and -96"
18246122,miR-222,hsa-mir-222,MI0000299,TRAIL therapy,-,"CALU-1, A459, A549,H460",-,-,-,Non-small Cell Lung Cancer,in vitro,High,Resistant,-,-,2008,MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.,"Three of these miRs, miR-222, -221 and -100, showed dramatic overexpression with 5- to 8-fold higher levels in resistant NSCLC cells compared to the sensitive NSCLC cells.Downregulation occurred for only two miRs, miR-9 and -96"
18246122,miR-9,hsa-mir-9-1,MI0000466,TRAIL therapy,-,"CALU-1, A459, A549,H460",-,-,-,Non-small Cell Lung Cancer,in vitro,High,Sensitive,-,-,2008,MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.,"Three of these miRs, miR-222, -221 and -100, showed dramatic overexpression with 5- to 8-fold higher levels in resistant NSCLC cells compared to the sensitive NSCLC cells.Downregulation occurred for only two miRs, miR-9 and -96"
18246122,miR-96,hsa-mir-96,MI0000098,TRAIL therapy,-,"CALU-1, A459, A549,H460",-,-,-,Non-small Cell Lung Cancer,in vitro,High,Sensitive,-,-,2008,MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.,"Three of these miRs, miR-222, -221 and -100, showed dramatic overexpression with 5- to 8-fold higher levels in resistant NSCLC cells compared to the sensitive NSCLC cells.Downregulation occurred for only two miRs, miR-9 and -96"
18449891,miR-15b,hsa-mir-15b,MI0000438,Vincristine,241903,-,SGC7901 vs SGC7901/VCR,-,-,gastric cancer,in vitro,Low,Sensitive,BCL-2,-,2008,miR-15b and miR-16 modulate multidrug resistance by targeting BCL2 in human gastric cancer cells.,"A marked increase in apoptosis, as assessed by flow cytometry, was observed in miR-15b or miR-16 precursor-transfected SGC7901/VCR cells after VCR treatment compared to precursor control-transfected cells."
18449891,miR-16,hsa-mir-16-1,MI0000070,Vincristine,241903,-,SGC7901 vs SGC7901/VCR,-,-,gastric cancer,in vitro,Low,Sensitive,BCL-2,-,2008,miR-15b and miR-16 modulate multidrug resistance by targeting BCL2 in human gastric cancer cells.,"A marked increase in apoptosis, as assessed by flow cytometry, was observed in miR-15b or miR-16 precursor-transfected SGC7901/VCR cells after VCR treatment compared to precursor control-transfected cells."
