Common_Genes	group_name
wee1	hsa-let-7a-3p_gemcitabine
bcl2	hsa-let-7a-5p_doxorubicin
edn1	hsa-let-7a-5p_doxorubicin
ccnd1	hsa-let-7a-5p_doxorubicin
mthfd1	hsa-let-7a-5p_doxorubicin
casp3	hsa-let-7a-5p_doxorubicin
nr1i2	hsa-let-7a-5p_doxorubicin
rpsa	hsa-let-7a-5p_doxorubicin
kras	hsa-let-7a-5p_capecitabine
bcl2	hsa-let-7a-5p_doxorubicin
edn1	hsa-let-7a-5p_doxorubicin
ccnd1	hsa-let-7a-5p_doxorubicin
mthfd1	hsa-let-7a-5p_doxorubicin
casp3	hsa-let-7a-5p_doxorubicin
nr1i2	hsa-let-7a-5p_doxorubicin
rpsa	hsa-let-7a-5p_doxorubicin
bcl2	hsa-let-7a-5p_doxorubicin
edn1	hsa-let-7a-5p_doxorubicin
ccnd1	hsa-let-7a-5p_doxorubicin
mthfd1	hsa-let-7a-5p_doxorubicin
casp3	hsa-let-7a-5p_doxorubicin
nr1i2	hsa-let-7a-5p_doxorubicin
rpsa	hsa-let-7a-5p_doxorubicin
trim5	hsa-let-7a-5p_paclitaxel
tubb2a	hsa-let-7a-5p_paclitaxel
tubb4a	hsa-let-7a-5p_paclitaxel
bcl2	hsa-let-7a-5p_paclitaxel
cxcl8	hsa-let-7a-5p_paclitaxel
kras	hsa-let-7a-5p_paclitaxel
e2f1	hsa-let-7a-5p_paclitaxel
sod2	hsa-let-7a-5p_paclitaxel
rrm1	hsa-let-7a-5p_paclitaxel
cdkn1a	hsa-let-7a-5p_paclitaxel
map3k1	hsa-let-7a-5p_paclitaxel
casp3	hsa-let-7a-5p_paclitaxel
nr1i2	hsa-let-7a-5p_paclitaxel
egfr	hsa-let-7a-5p_paclitaxel
trim5	hsa-let-7a-5p_paclitaxel
tubb2a	hsa-let-7a-5p_paclitaxel
tubb4a	hsa-let-7a-5p_paclitaxel
bcl2	hsa-let-7a-5p_paclitaxel
cxcl8	hsa-let-7a-5p_paclitaxel
kras	hsa-let-7a-5p_paclitaxel
e2f1	hsa-let-7a-5p_paclitaxel
sod2	hsa-let-7a-5p_paclitaxel
rrm1	hsa-let-7a-5p_paclitaxel
cdkn1a	hsa-let-7a-5p_paclitaxel
map3k1	hsa-let-7a-5p_paclitaxel
casp3	hsa-let-7a-5p_paclitaxel
nr1i2	hsa-let-7a-5p_paclitaxel
egfr	hsa-let-7a-5p_paclitaxel
rrm2	hsa-let-7a-5p_gemcitabine
nras	hsa-let-7a-5p_gemcitabine
hras	hsa-let-7a-5p_gemcitabine
rrm1	hsa-let-7a-5p_gemcitabine
kras	hsa-let-7a-5p_gemcitabine
igf2	hsa-let-7a-5p_gemcitabine
mthfd1	hsa-let-7a-5p_gemcitabine
bcl2l11	hsa-let-7a-5p_imatinib
myc	hsa-let-7a-5p_imatinib
nf2	hsa-let-7a-5p_imatinib
pdgfb	hsa-let-7a-5p_imatinib
lyn	hsa-let-7a-5p_imatinib
kras	hsa-let-7a-5p_imatinib
egfr	hsa-let-7a-5p_imatinib
trim5	hsa-let-7a-5p_paclitaxel
tubb2a	hsa-let-7a-5p_paclitaxel
tubb4a	hsa-let-7a-5p_paclitaxel
bcl2	hsa-let-7a-5p_paclitaxel
cxcl8	hsa-let-7a-5p_paclitaxel
kras	hsa-let-7a-5p_paclitaxel
e2f1	hsa-let-7a-5p_paclitaxel
sod2	hsa-let-7a-5p_paclitaxel
rrm1	hsa-let-7a-5p_paclitaxel
cdkn1a	hsa-let-7a-5p_paclitaxel
map3k1	hsa-let-7a-5p_paclitaxel
casp3	hsa-let-7a-5p_paclitaxel
nr1i2	hsa-let-7a-5p_paclitaxel
egfr	hsa-let-7a-5p_paclitaxel
rrm2	hsa-let-7a-5p_gemcitabine
nras	hsa-let-7a-5p_gemcitabine
hras	hsa-let-7a-5p_gemcitabine
rrm1	hsa-let-7a-5p_gemcitabine
kras	hsa-let-7a-5p_gemcitabine
igf2	hsa-let-7a-5p_gemcitabine
mthfd1	hsa-let-7a-5p_gemcitabine
ncoa3	hsa-let-7a-5p_cytarabine
rrm2	hsa-let-7a-5p_cytarabine
rrm1	hsa-let-7a-5p_cytarabine
prim2	hsa-let-7a-5p_cytarabine
bcl2	hsa-let-7a-5p_oxaliplatin
kras	hsa-let-7a-5p_oxaliplatin
bcl2	hsa-let-7a-5p_oxaliplatin
kras	hsa-let-7a-5p_oxaliplatin
egfr	hsa-let-7a-5p_cisplatin
il6	hsa-let-7a-5p_cisplatin
fxn	hsa-let-7a-5p_cisplatin
myc	hsa-let-7a-5p_cisplatin
bcl2	hsa-let-7a-5p_cisplatin
kras	hsa-let-7a-5p_cisplatin
nras	hsa-let-7a-5p_cisplatin
nf2	hsa-let-7a-5p_cisplatin
e2f1	hsa-let-7a-5p_cisplatin
rrm1	hsa-let-7a-5p_cisplatin
map3k1	hsa-let-7a-5p_cisplatin
ccnd1	hsa-let-7a-5p_cisplatin
casp3	hsa-let-7a-5p_cisplatin
nr1i2	hsa-let-7a-5p_cisplatin
mthfd1	hsa-let-7a-5p_cisplatin
trim5	hsa-let-7a-5p_paclitaxel
tubb2a	hsa-let-7a-5p_paclitaxel
tubb4a	hsa-let-7a-5p_paclitaxel
bcl2	hsa-let-7a-5p_paclitaxel
cxcl8	hsa-let-7a-5p_paclitaxel
kras	hsa-let-7a-5p_paclitaxel
e2f1	hsa-let-7a-5p_paclitaxel
sod2	hsa-let-7a-5p_paclitaxel
rrm1	hsa-let-7a-5p_paclitaxel
cdkn1a	hsa-let-7a-5p_paclitaxel
map3k1	hsa-let-7a-5p_paclitaxel
casp3	hsa-let-7a-5p_paclitaxel
nr1i2	hsa-let-7a-5p_paclitaxel
